,Africa,Africa,Asia,Asia,Europe,Europe,North America,North America,Oceania,Oceania,South America,South America,Antarctica,Antarctica
Year,Trade Value,No of Countries,Trade Value,No of Countries,Trade Value,No of Countries,Trade Value,No of Countries,Trade Value,No of Countries,Trade Value,No of Countries,Trade Value,No of Countries
1995,89249638.0,35,831067891.0,35,2088523100.0,33,1684155237.0,21,25164121.0,6,27014950.0,8,0.0,0
1996,81046068.0,34,756883591.0,37,2415499622.0,35,1720543710.0,22,25896442.0,7,34961571.0,11,0.0,0
1997,91036561.0,36,811875914.0,35,2751267797.0,36,2140156025.0,22,47325443.0,8,33112004.0,11,0.0,0
1998,58991037.0,36,723977801.0,40,2991994661.0,36,2355957209.0,24,36640819.0,10,33359928.0,10,0.0,0
1999,26554386.0,25,488510958.0,24,2429397701.0,37,2152172951.0,17,30537594.0,5,16555619.0,10,0.0,0
2000,52053767.0,41,851821332.0,38,3523410266.0,39,2905456727.0,25,53877245.0,13,27656959.0,11,0.0,0
2001,84214675.0,42,825259908.0,41,3889968925.0,39,3052266405.0,24,35594417.0,11,27401814.0,10,0.0,0
2002,60506036.0,45,818824854.0,42,3768809328.0,40,2627199038.0,25,34555517.0,12,16914452.0,10,0.0,0
2003,68572316.0,47,915667611.0,46,5060737296.0,39,2793788892.0,25,41784852.0,14,19238996.0,12,0.0,0
2004,107525792.0,48,1080532780.0,47,6554108959.0,39,3225908675.0,26,44718122.0,15,24548601.0,12,0.0,0
2005,126875668.0,47,1291757235.0,46,6321005517.0,39,3523695450.0,24,50135473.0,16,30267090.0,12,0.0,0
2006,119474489.0,46,2250710044.0,49,8275952945.0,40,4219513583.0,25,45153081.0,17,33883515.0,13,5153.0,1
2007,150473903.0,48,2264091056.0,49,9170619105.0,40,4376014509.0,26,52175942.0,14,60395220.0,12,0.0,0
2008,216876557.0,50,2252566139.0,47,10596356309.0,41,4950899766.0,27,68621204.0,18,128381816.0,13,0.0,0
2009,263637475.0,50,2399042995.0,50,11070401156.0,40,4958475249.0,25,154891005.0,15,124279995.0,12,0.0,0
2010,262828883.0,50,3344812931.0,50,12265846183.0,41,5997061918.0,26,189606337.0,18,155932762.0,12,0.0,0
2011,308628813.0,52,4304888328.0,49,16458999537.0,40,6770814847.0,25,321628164.0,15,254661734.0,12,0.0,0
2012,488416090.0,51,4816313184.0,50,16025600415.0,41,6596080594.0,26,451081186.0,19,284066695.0,12,0.0,0
2013,282230765.0,50,5228702389.0,49,18452894218.0,40,7160236757.0,27,520620676.0,17,331348527.0,13,0.0,0
2014,245820842.0,39,5157969313.0,41,20460821093.0,40,6799799499.0,20,555759759.0,8,336083488.0,10,0.0,0
2015,350871524.0,49,5977044683.0,50,21406025266.0,40,7908006158.0,27,729763898.0,16,378759154.0,13,0.0,0
2016,272419433.0,44,5810212783.0,42,23016581529.0,40,7642564651.0,20,739984493.0,7,319935546.0,11,0.0,0
2017,362387224.0,42,6038887462.0,44,25338103723.0,40,7436866084.0,20,742856364.0,7,399333741.0,11,0.0,0
2018,383493197.0,40,6758410931.0,43,28402941323.0,40,7993726883.0,20,836279038.0,8,577464154.0,11,0.0,0
2019,302807424.0,38,7187538667.0,43,29173021585.0,39,8798266117.0,20,913409423.0,5,575487893.0,11,0.0,0
2020,267979737.0,35,6153821404.0,40,25792730276.0,39,7779905417.0,20,859690395.0,5,431439333.0,11,0.0,0
2021,308222921.0,28,8089243735.0,39,31082658431.0,38,10721781711.0,18,1071386165.0,4,500394270.0,11,0.0,0
