Year,Gini Coefficient
1995,0.8682711805121621
1996,0.8700778727316761
1997,0.8791632498250481
1998,0.8871487693774576
1999,0.9038611421787157
2000,0.8901235484662551
2001,0.8959317828206205
2002,0.8964243196679033
2003,0.8960296024117798
2004,0.8963551499688075
2005,0.8855862701811988
2006,0.8966320447110967
2007,0.8824276123348479
2008,0.8915377607498837
2009,0.8989918243061564
2010,0.8975000866395585
2011,0.9033356438692722
2012,0.8958303566928355
2013,0.902846577082627
2014,0.9099192257257233
2015,0.9081867452111464
2016,0.9181263367095005
2017,0.9164976174145752
2018,0.9159588776158514
2019,0.9138223346451717
2020,0.9117208482636586
2021,0.9039835236242032
